,Draft_Yr,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP,PTS_per_G,TRB_per_G,AST_per_G,WS_per_G,WS_per_48,BPM,VORP
2021,1974,123,DET,Sammy High,Tulsa,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1974,124,CHI,Geoff Roberts,Missouri,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,1974,125,BOS,Ron Brown,Penn State,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1974,126,MIL,Bob Hornstein,West Virginia,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,1974,127,PHI,Jimmy Powell,Middle Tennessee,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,1974,128,POR,Eldridge Broussard,Pacific University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,1974,129,CLE,Kerry Hughes,Wisconsin,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,1974,130,PHO,Tom Holland,Oklahoma,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2031,1974,131,HOU,Steve Brooks,Arkansas State University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2032,1974,132,KCO,Richie O'Connor,Fairfield,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2033,1974,133,ATL,Bill Butler,Louisville,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2034,1974,134,SEA,Leonard Coulter,Morehead State University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2035,1974,135,BUF,Glenn Price,St. Bonaventure,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2036,1974,136,NOJ,Jay Piccola,Roanoke College,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2037,1974,137,GSW,Clarence Allen,UC Santa Barbara,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2038,1974,138,WSB,Steve Platt,Huntington University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039,1974,139,LAL,Bob Florence,UNLV,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2040,1974,140,NYK,Dennis McDermott,St. Francis College,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2041,1974,141,DET,Greg Newman,Drexel,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2042,1974,142,CHI,Sam McCants,Oral Roberts,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2043,1974,143,BOS,Richard Wallace,Georgia Southern University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2044,1974,144,MIL,Ralph Palamar,Cameron University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2047,1974,145,PHI,Perry Warbington,Georgia Southern University,1,5,70,10,8,16,0.19,0.0,1.0,70,2.0,1.6,3.2,-0.3,-0.17800000000000002,-6.6,-0.2
2048,1974,146,POR,Lee Haven,Colorado,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2049,1974,147,CLE,Jim Buskofsky,Upper Iowa University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050,1974,148,PHO,Ted Evans,Oklahoma,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2051,1974,149,HOU,Ken Stalling,University of Missouri-Rolla,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2052,1974,150,KCO,Jeff Dawson,Illinois,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2053,1974,151,ATL,Lon Kruger,Kansas State,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2054,1974,152,SEA,Bertrand du Pont,Dillard University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2055,1974,153,BUF,John Falconi,Davidson,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2056,1974,154,NOJ,Ken Boyd,Boston University,1,6,25,19,5,2,0.5379999999999999,0.0,0.455,25,3.2,0.8,0.3,0.1,0.109,-2.7,0.1
2057,1974,155,GSW,Carl Meier,California,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2058,1974,156,WSB,Mark Raterink,Boston College,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,1974,157,NYK,Earl Brown,Lafayette College,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2060,1974,158,DET,Gary Deitelhoff,Millikin University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2061,1974,159,CHI,Jerry Davenport,Cameron University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2062,1974,160,BOS,Al Skinner,UMass,4,203,4460,1884,673,526,0.43700000000000006,0.0,0.8079999999999999,4460,9.3,3.3,2.6,6.2,0.067,-1.2,0.9
2063,1974,161,MIL,Mike Deane,State University of New York at Potsdam,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2066,1974,162,PHI,Larry Witherspoon,Towson University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2067,1974,163,POR,Ron Jones,Oregon State,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2068,1974,164,CLE,Jim Kelly,Loras College,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2069,1974,165,PHO,Mark Wasley,Arizona State,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2070,1974,166,HOU,Marcus Washington,Marquette,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2071,1974,167,KCO,Dennis White,Arkansas,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2072,1974,168,ATL,Brendy Lee,Nebraska,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2073,1974,169,SEA,Rod Derline,Seattle University,2,107,1005,518,86,71,0.419,0.0,0.7859999999999999,1005,4.8,0.8,0.7,0.8,0.039,-3.0,-0.3
2074,1974,170,BUF,Andy Rimol,Princeton,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2075,1974,171,NOJ,Walt McGary,Chattanooga,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2076,1974,172,GSW,Marvin Buckley,Nevada,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2077,1974,173,WSB,Pete Collins,High Point University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2078,1974,174,NYK,John O'Connell,UNC,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2079,1974,175,DET,Bill Ligon,Vanderbilt,1,38,272,126,26,25,0.385,0.0,0.64,272,3.3,0.7,0.7,-0.2,-0.043,-4.5,-0.2
2080,1974,176,CHI,Rick Hockenos,Saint Francis University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2081,1974,177,BOS,Phil Rogers,Fairfield,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2082,1974,178,MIL,Bruce Featherston,Texas State University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2083,1975,1,ATL,David Thompson,NC State,8,509,16305,11264,1921,1631,0.504,0.27699999999999997,0.778,16305,22.1,3.8,3.2,50.8,0.15,2.1,16.8
2084,1975,2,LAL,Dave Meyers,UCLA,4,281,7471,3149,1771,652,0.461,0.2,0.6759999999999999,7471,11.2,6.3,2.3,13.4,0.086,-0.7,2.4
2085,1975,3,ATL,Marvin Webster,Morgan State University,9,579,12966,4137,4044,722,0.489,0.33299999999999996,0.617,12966,7.1,7.0,1.2,28.1,0.10400000000000001,-0.1,6.2
2086,1975,4,PHO,Alvan Adams,Oklahoma,13,988,27203,13910,6937,4012,0.498,0.133,0.7879999999999999,27203,14.1,7.0,4.1,73.5,0.13,2.8,33.0
2087,1975,5,PHI,Darryl Dawkins,,14,726,17235,8733,4432,917,0.5720000000000001,0.133,0.685,17235,12.0,6.1,1.3,46.4,0.129,-0.2,7.8
2088,1975,6,POR,Lionel Hollins,Arizona State,10,673,18453,7809,1601,3006,0.444,0.149,0.741,18453,11.6,2.4,4.5,22.9,0.059000000000000004,-1.4,3.1
2089,1975,7,NOJ,Rich Kelley,Stanford,11,814,17711,6199,5678,2092,0.488,0.0,0.7829999999999999,17711,7.6,7.0,2.6,42.5,0.115,0.8,12.7
2090,1975,8,LAL,Junior Bridgeman,Louisville,12,849,21257,11517,2995,2066,0.475,0.244,0.846,21257,13.6,3.5,2.4,45.0,0.102,-0.4,8.3
2091,1975,9,NYK,Gene Short,Jackson State University,1,34,222,84,48,10,0.35200000000000004,0.0,0.625,222,2.5,1.4,0.3,-0.1,-0.025,-5.0,-0.2
2092,1975,10,KCK,Bill Robinzine,DePaul,7,529,11432,5541,3209,560,0.48200000000000004,0.25,0.7490000000000001,11432,10.5,6.1,1.1,23.3,0.098,-1.8,0.5
2093,1975,11,HOU,Joe Meriweather,Southern Illinois,10,670,14807,5439,3764,603,0.511,0.33299999999999996,0.687,14807,8.1,5.6,0.9,27.6,0.09,-1.7,1.2
2094,1975,12,SEA,Frank Oleynick,Seattle University,2,102,1166,508,90,113,0.386,0.0,0.708,1166,5.0,0.9,1.1,-0.1,-0.005,-4.8,-0.8
2095,1975,13,KCK,Bob Bigelow,Penn,4,94,762,234,111,42,0.414,0.0,0.732,762,2.5,1.2,0.4,0.5,0.028999999999999998,-3.3,-0.2
2096,1975,14,GSW,Joe Bryant,La Salle,8,606,12845,5252,2441,1049,0.45,0.2,0.743,12845,8.7,4.0,1.7,12.9,0.048,-2.2,-0.7
2097,1975,15,CLE,John Lambert,USC,7,446,5564,1688,1493,248,0.428,0.083,0.693,5564,3.8,3.3,0.6,6.9,0.06,-3.1,-1.5
2098,1975,16,PHO,Ricky Sobers,UNLV,11,821,22992,10902,2132,3525,0.45899999999999996,0.29100000000000004,0.843,22992,13.3,2.6,4.3,32.0,0.067,-1.3,4.1
2099,1975,17,BOS,Tom Boswell,South Carolina,6,366,7046,2821,1709,591,0.5329999999999999,0.545,0.7240000000000001,7046,7.7,4.7,1.6,15.2,0.10400000000000001,-1.1,1.6
2100,1975,18,WSB,Kevin Grevey,Kentucky,10,672,15246,7364,1594,1247,0.43700000000000006,0.33399999999999996,0.8170000000000001,15246,11.0,2.4,1.9,26.5,0.083,-1.2,2.9
2103,1975,19,ATL,Bill Willoughby,,8,488,8647,2930,1891,413,0.47,0.27,0.75,8647,6.0,3.9,0.8,13.3,0.07400000000000001,-1.5,1.2
2104,1975,20,GSW,Gus Williams,USC,11,825,25645,14093,2222,4597,0.461,0.23800000000000002,0.7559999999999999,25645,17.1,2.7,5.6,67.9,0.127,2.9,31.8
2105,1975,21,SEA,Bruce Seals,Xavier University of Louisiana,3,235,5734,2422,1087,293,0.435,0.0,0.675,5734,10.3,4.6,1.2,7.0,0.057999999999999996,-2.8,-1.2
2106,1975,22,MIL,Clyde Mayes,Furman University,2,74,1000,297,279,40,0.446,0.0,0.5670000000000001,1000,4.0,3.8,0.5,0.9,0.044000000000000004,-3.7,-0.5
2107,1975,23,PHI,World B. Free,Guilford College,13,886,26893,17955,2430,3319,0.456,0.337,0.753,26893,20.3,2.7,3.7,67.7,0.121,1.2,22.0
2108,1975,24,MIL,Cornelius Cash,Bowling Green,1,6,49,21,16,1,0.391,0.0,0.5,49,3.5,2.7,0.2,0.0,-0.01,-4.6,-0.1
2109,1975,25,POR,Bob Gross,Cal State Long Beach,8,513,12575,4567,2253,1481,0.512,0.179,0.7979999999999999,12575,8.9,4.4,2.9,30.7,0.11699999999999999,1.8,12.2
2110,1975,26,NYK,Ticky Burden,Utah,2,63,623,349,66,63,0.42100000000000004,0.0,0.6,623,5.5,1.0,1.0,0.0,-0.002,-3.1,-0.2
2111,1975,27,DET,Walter Luckett,Ohio University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2112,1975,28,CLE,Dan Roundfield,Central Michigan University,11,746,23443,11318,7243,1620,0.485,0.115,0.738,23443,15.2,9.7,2.2,65.2,0.134,1.4,20.0
2113,1975,29,HOU,Jim Blanks,Gardner-Webb University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2114,1975,30,CHI,Steve Green,Indiana,3,153,1632,705,300,97,0.43799999999999994,0.0,0.7040000000000001,1632,4.6,2.0,0.6,2.2,0.065,-2.8,-0.3
2115,1975,31,KCK,Glenn Hansen,LSU,3,112,1447,588,247,93,0.41200000000000003,0.0,0.725,1447,5.3,2.2,0.8,1.0,0.034,-2.9,-0.4
2116,1975,32,CHI,John Laskowski,Indiana,2,118,2132,832,282,99,0.39799999999999996,0.0,0.76,2132,7.1,2.4,0.8,2.0,0.046,-1.9,0.0
2117,1975,33,CLE,Mel Utley,St. John's,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2118,1975,34,NYK,Larry Fogle,Canisius,1,2,14,2,3,0,0.2,0.0,0.0,14,1.0,1.5,0.0,0.0,-0.163,-5.1,0.0
2119,1975,35,PHO,Allen Murphy,Louisville,1,2,18,5,4,0,0.2,0.0,0.429,18,2.5,2.0,0.0,-0.1,-0.22899999999999998,-5.7,-0.1
2120,1975,36,PHO,Jimmy Conner,Kentucky,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2123,1975,37,NOJ,Rudy Hackett,Syracuse,1,6,46,14,13,3,0.3,0.0,0.5710000000000001,46,2.3,2.2,0.5,0.0,-0.024,-4.4,-0.1
2124,1975,38,NOJ,Jim McElroy,Central Michigan University,7,418,10178,4120,820,1462,0.46799999999999997,0.20600000000000002,0.764,10178,9.9,2.0,3.5,14.0,0.066,-1.1,2.2
2125,1975,39,PHI,Jimmie Baker,Hawaii,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2126,1975,40,GSW,Otis Johnson,Stetson University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2127,1975,41,PHI,Charles Cleveland,Alabama,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2128,1975,42,POR,Tom Roy,Maryland,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2129,1975,43,MIL,Brian Hammel,Bentley College,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2130,1975,44,DET,Pete Trgovich,UCLA,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2131,1975,45,CLE,Ted Hathaway,Cleveland State University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2132,1975,46,NYK,John Ramsey,Seton Hall,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2133,1975,47,HOU,Rudy White,Arizona State,5,124,1185,384,120,112,0.408,0.0,0.742,1185,3.1,1.0,0.9,0.2,0.008,-3.3,-0.4
2134,1975,48,WSB,Tom Kropp,University of Nebraska at Kearney,2,78,552,193,62,47,0.44,0.0,0.7020000000000001,552,2.5,0.8,0.6,0.5,0.042,-3.5,-0.3
2135,1975,49,KCK,Bob Guyette,Kentucky,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2136,1975,50,POR,Gus Gerard,Virginia,5,280,3524,1607,719,224,0.436,0.14300000000000002,0.649,3524,5.7,2.6,0.8,5.3,0.07200000000000001,-1.4,0.6
2137,1975,51,GSW,Bubbles Hawkins,Illinois State,4,103,2005,1313,240,150,0.45299999999999996,0.0,0.7040000000000001,2005,12.7,2.3,1.5,3.0,0.07200000000000001,0.4,1.4
2138,1975,52,BUF,George Bucci,Manhattan College,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2139,1975,53,BOS,Jerome Anderson,West Virginia,2,49,290,127,25,16,0.49,0.0,0.6940000000000001,290,2.6,0.5,0.3,0.4,0.068,-3.4,-0.1
2140,1975,54,PHO,Bayard Forrest,Grand Canyon University,2,139,2130,569,565,296,0.449,0.0,0.509,2130,4.1,4.1,2.1,2.7,0.06,-0.7,0.7
2143,1975,55,NOJ,Mack Coleman,Houston Baptist University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2144,1975,56,LAL,C.J. Kupec,Michigan,3,147,1589,606,313,108,0.42700000000000005,0.0,0.772,1589,4.1,2.1,0.7,1.8,0.053,-3.1,-0.5
2145,1975,57,ATL,Monte Towe,NC State,1,51,409,130,34,87,0.406,0.0,0.72,409,2.5,0.7,1.7,0.1,0.013000000000000001,-4.5,-0.3
2146,1975,58,PHO,Sam McCants,Oral Roberts,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2147,1975,59,PHI,Louis Dunbar,Houston,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2148,1975,60,MIL,Bill Campion,Manhattan College,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2149,1975,61,POR,Phil Hicks,Tulane,2,57,390,132,94,32,0.447,0.0,0.778,390,2.3,1.6,0.6,0.5,0.057999999999999996,-2.7,-0.1
2150,1975,62,CLE,Eric Fernsten,San Francisco,6,218,1643,517,372,82,0.445,0.0,0.675,1643,2.4,1.7,0.4,3.3,0.098,-0.7,0.6
2151,1975,63,NYK,David Vaughn,Oral Roberts,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2152,1975,64,DET,Lindsay Hairston,Michigan State,1,47,651,273,179,21,0.456,0.0,0.58,651,5.8,3.8,0.4,1.0,0.075,-1.7,0.1
2153,1975,65,HOU,Ken Smith,Tulsa,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2154,1975,66,SEA,Jim Moore,Utah State University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2155,1975,67,KCK,Kevin Cleuss,St. John's,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2156,1975,68,CHI,Ron Haigler,Penn,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2157,1975,69,GSW,Billy Taylor,La Salle,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2158,1975,70,BUF,Bob Fleischer,Duke,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2159,1975,71,WSB,Fessor Leonard,Furman University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2160,1975,72,BOS,Cyrus Mann,Illinois State,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2163,1975,73,NOJ,Andre Hampton,Kentucky State University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2164,1975,74,LAL,Charles Russell,Alabama,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2165,1975,75,ATL,Wilbur Holland,New Orleans,4,276,8171,3760,842,922,0.452,0.0,0.799,8171,13.6,3.1,3.3,14.0,0.08199999999999999,-0.4,3.3
2166,1975,76,PHO,Joe Pace,Coppin State University,2,79,557,255,168,27,0.467,0.0,0.598,557,3.2,2.1,0.3,1.1,0.092,-2.1,0.0
2167,1975,77,PHI,Ken Tyler,Gonzaga,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2168,1975,78,POR,Maurice Presley,Houston,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2169,1975,79,CLE,Jim Lee,Syracuse,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2170,1975,80,NYK,Donald Washington,UNC,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2171,1975,81,DET,Cliff Pratt,Shaw,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2172,1975,82,CLE,Mike Odems,Western Kentucky,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2173,1975,83,HOU,Rick Whitlow,Illinois State,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2174,1975,84,SEA,Dwain Govan,Bishop College,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2175,1975,85,KCK,Ed Stahl,UNC,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2176,1975,86,CHI,Bob Iverson,University of North Texas,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2177,1975,87,GSW,Larry Pounds,Washington,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2178,1975,88,BUF,Sam Berry,Armstrong Atlantic State University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2179,1975,89,BOS,Darryl Brown,Fordham,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2180,1975,90,WSB,Rich Jones,VCU,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2183,1975,91,NOJ,Rich Schmidt,Illinois,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2184,1975,92,LAL,Don Ford,UC Santa Barbara,7,474,9301,3016,1691,647,0.46399999999999997,0.14300000000000002,0.773,9301,6.4,3.6,1.4,12.7,0.066,-1.8,0.4
2185,1975,93,ATL,Danny Williams,Ole Miss,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2186,1975,94,PHO,Buff Burrell,USC,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2187,1975,95,PHI,Ken Alston,Valdosta State University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2188,1975,96,MIL,Oliver Purnell,Old Dominion,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2189,1975,97,POR,Gerald Willett,Oregon,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2190,1975,98,DET,Allen Spruill,North Carolina A&T,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2191,1975,99,CLE,Henry Ward,Jackson State University,1,27,171,83,33,6,0.37799999999999995,0.0,0.882,171,3.1,1.2,0.2,-0.1,-0.023,-6.1,-0.2
2192,1975,100,NYK,Hank Williams,Jacksonville University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2193,1975,101,HOU,William Johnson,Texas Tech,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2194,1975,102,SEA,Larry Smith,North Carolina A&T,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195,1975,103,KCK,Clint Chapman,USC,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2196,1975,104,CHI,Bill Andreas,Ohio State,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2197,1975,105,GSW,Tony Styles,San Francisco,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2198,1975,106,BUF,Larry Jackson,UNC Charlotte,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2199,1975,107,WSB,John Garrett,Purdue,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2200,1975,108,BOS,Rick Coleman,Jacksonville University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2203,1975,109,NOJ,Bill Higgins,Ashland University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2204,1975,110,LAL,Rick Suttle,Kansas,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2205,1975,111,ATL,Gus Johnson,Winona State University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
