,Draft_Yr,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP,PTS_per_G,TRB_per_G,AST_per_G,WS_per_G,WS_per_48,BPM,VORP
376,1968,25,DET,Don Dee,Saint Mary of the Plains College,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
377,1968,26,BAL,Ron Nelson,New Mexico,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
378,1968,27,CIN,Pat Frink,Colorado,1,48,363,123,41,55,0.34,0.0,0.7929999999999999,363,2.6,0.9,1.1,-0.5,-0.064,0.0,0.0
379,1968,28,CIN,Fred Foster,Miami University,8,524,9116,4093,1275,601,0.414,0.0,0.727,9116,7.8,2.4,1.1,2.9,0.016,-4.3,-1.4
380,1968,29,SFW,Donald Sidle,Oklahoma,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
381,1968,30,NYK,Don May,Dayton,7,379,6619,3339,1309,389,0.45299999999999996,0.0,0.7979999999999999,6619,8.8,3.5,1.0,11.4,0.08199999999999999,-3.4,-0.3
382,1968,31,CHI,Dave Newmark,Columbia University,2,145,1771,769,521,100,0.405,0.0,0.6709999999999999,1771,5.3,3.6,0.7,1.2,0.034,0.0,0.0
383,1968,32,BOS,Garfield Smith,Eastern Kentucky University,2,63,415,168,132,17,0.385,0.0,0.322,415,2.7,2.1,0.3,-0.3,-0.036000000000000004,0.0,0.0
384,1968,33,BAL,Jack Thompson,South Carolina,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
385,1968,34,SEA,Ed Johnson,Tennessee State,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
386,1968,35,MIL,Sam Williams,Iowa,2,66,672,255,116,64,0.353,0.0,0.531,672,3.9,1.8,1.0,-0.4,-0.028999999999999998,0.0,0.0
387,1968,36,PHO,Art Beatty,American University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390,1968,37,SDR,Harry Barnes,Northeastern University,1,22,126,43,26,5,0.281,0.0,0.5379999999999999,126,2.0,1.2,0.2,-0.4,-0.154,0.0,0.0
391,1968,38,SEA,Henry Logan,Western Carolina University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,1968,39,CHI,Mike Lynn,UCLA,2,49,428,126,68,31,0.32899999999999996,0.0,0.667,428,2.6,1.4,0.6,-0.3,-0.035,0.0,0.0
393,1968,40,BAL,Dallas Thornton,Kentucky Wesleyan College,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394,1968,41,CIN,Daniel Sparks,Weber State,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395,1968,42,DET,Rich Niemann,Saint Louis,1,40,290,113,106,18,0.414,0.0,0.778,290,2.8,2.7,0.5,0.3,0.042,0.0,0.0
396,1968,43,SFW,Edgar Lacey,UCLA,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397,1968,44,NYK,Warren Jabali,Wichita State,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398,1968,45,LAL,Ed Biedenbach,NC State,1,7,18,4,2,3,0.0,0.0,0.667,18,0.6,0.3,0.4,-0.1,-0.248,0.0,0.0
399,1968,46,BOS,Rich Johnson,Grambling State University,2,97,1074,457,265,39,0.452,0.0,0.613,1074,4.7,2.7,0.4,1.3,0.06,0.0,0.0
400,1968,47,ATL,Bob Warren,Vanderbilt,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401,1968,48,SDR,Darryl Jones,Benedictine College,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,1968,49,PHO,Rich Jones,Memphis,1,34,877,360,194,46,0.385,0.0,0.76,877,10.6,5.7,1.4,0.6,0.033,-3.1,-0.2
403,1968,50,MIL,Greg Smith,Western Kentucky,8,524,12269,4097,3249,969,0.48200000000000004,0.0,0.6459999999999999,12269,7.8,6.2,1.8,22.2,0.087,-2.9,-0.3
406,1968,51,SDR,Glen Combs,Virginia Tech,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
407,1968,52,SEA,Al Hairston,Bowling Green,2,42,294,91,41,44,0.336,0.0,0.6,294,2.2,1.0,1.0,-0.5,-0.08199999999999999,0.0,0.0
408,1968,53,CHI,Jim Tillman,Loyola Chicago,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409,1968,54,BAL,Ed Chaplin,Voorhees College,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410,1968,55,CIN,Jim Kissane,Boston College,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411,1968,56,DET,Carl Fuller,Bethune-Cookman College,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
412,1968,57,SFW,Jim Eakins,BYU,2,115,1744,628,436,148,0.462,0.0,0.8440000000000001,1744,5.5,3.8,1.3,4.5,0.12300000000000001,-0.5,0.7
